grhowl,Виргинский филин
categr,Египетская цапля (ibis)
trufin2,Толстоклювый пустынный вьюрок
yesbar1,Пятнистая либия
colpuf1,Ошейниковая пуховка
chcpuf1,Буроголовая пуховка
spopuf1,Пятнистая пуховка
buffle,Гоголь-головастик
comgol,Гоголь
bargol,Исландский гоголь
grehor1,Двурогий калао
rufhor1,Огненный гомрай
rhihor1,Малайский гомрай
helhor1,Helmeted Hornbill
soghor1,Кафрский рогатый ворон
bulpet,Бульверов штормовик
yeboxp1,Желтоклювый волоклюй
reboxp1,Красноклювый волоклюй
dstkne,Double-striped Thick-knee
sptkne1,Капская авдотка
butkne1,Австралийская авдотка
indthk1,Индийская авдотка
eutkne1,Авдотка
setkne1,Сенегальская авдотка
petkne1,Peruvian Thick-knee
watkne1,Водяная авдотка
blchaw1,Канюк-рыболов
gyfbuz1,Ястребиный сарыч
whebuz1,Белоглазый сарыч
whthaw1,Белогорлый канюк
zothaw,Болотный канюк
augbuz1,Augur Buzzard
madbuz1,Мадагаскарский канюк
shthaw,Короткохвостый канюк
combuz1,Канюк
rethaw,Краснохвостый канюк
combuz6,Восточный канюк
rolhaw,Зимняк
reshaw,Красноплечий канюк
gryhaw3,Полосатый канюк
moubuz2,Горный канюк
gryhaw2,Серый канюк
brwhaw,Ширококрылый канюк
ferhaw,Королевский канюк
ridhaw1,Гаитянский канюк
hawhaw,Канюк-отшельник
swahaw,Свенсонов канюк
comblh1,Чёрный крабоед
croeag1,Хохлатая агуйя-отшельник
savhaw1,Саванный крабоед
slchaw2,Шиферный крабоед
soleag1,Горная агуйя-отшельник
grbhaw1,Большой крабоед
homtan1,Горная танагра
strher,Зелёная цапля
grnher,Зеленоспинная цапля
whthor1,Белоногий шлеморог
sichor1,Серебристощёкий шлеморог
truhor1,Шлеморог-трубач
piphor1,Крикливый шлеморог
bawhor2,Серощёкий шлеморог
whicoc1,Белый какаду
duccoc1,Соломонский какаду
succoc,Большой желтохохлый какаду
tancoc1,Танимбарский какаду
litcor2,Гологлазый какаду
lobcor1,Носатый какаду
yercac1,Желтопоясничный кассик
moucac1,Жёлтоспинный кассик
gowcac1,Желтокрылый кассик
rercac1,Красноспинный кассик
batoro1,Ширококлювая оропендола
casoro2,Шлемоносная оропендола
sobcac1,Траурный кассик
scrcac1,Краснопоясничный кассик
chbcuc3,Каштановая кукушка
fatcuc1,Веерохвостая кукушка
whckoe1,Белошапочная кукушка
placuc1,Плачущая кукушка
palcuc1,Бледная кукушка
placuc3,Воробьиная кукушка
babcuc2,Полосатая кукушка
brucuc1,Кустарниковая кукушка
musduc,Мускусная утка
strfie1,Исчерченный ложнокрапивник
bawwar1,Пёстрая зебрина
grywrw1,Серая зебрина
miowrw3,Ястребиная зебрина
larbun,Жаворонковая овсянка
humlar1,Тонкоклювый жаворонок
gstlar1,Малый жаворонок
reclar1,Африканский малый жаворонок
sstlar4,Восточный жаворонок
laplon,Лапландский подорожник
chclon,Украшенный подорожник
smilon,Расписной подорожник
faclar2,Fawn-colored Lark
karlar2,Карруский жаворонок
foxlar1,Foxy Lark
piblar3,Розовогрудый жаворонок
sablar2,Южноафриканский жаворонок
retvan1,Краснохвостая ванга
shtsan,Острохвостый песочник
sander,Песчанка
dunlin,Чернозобик
baisan,Бэрдов песочник
redkno,Исландский песочник
brbsan,Грязовик
cursan,Краснозобик
whrsan,Бонапартов песочник
stisan,Ходулочниковый песочник
pursan,Морской песочник
wessan,Перепончатопалый песочник
pecsan,Дутыш
litsti,Кулик-воробей
leasan,Песочник-крошка
rocsan,Берингийский песочник
ruff,Турухтан
semsan,Малый песочник
spbsan1,Лопатень
rensti,Песочник-красношейка
lotsti,Длиннопалый песочник
bubsan,Желтозобик
temsti,Белохвостый песочник
grekno,Большой песочник
