ficale2,Diadeemalethe (castanea/woosnami)
ficale3,Diadeemalethe (diademata)
yefpar5,Geelbuikamazone
aukpar1,Australische Koningsparkiet
scbthr,Geschubde Spotlijster
t-11840984,Allard's Ground Cricket
t-11843287,Tinkling Ground Cricket
t-11855914,Walker's Ground Cricket
finbul1,Finsch's Bulbul
whtbul1,Witkeelbaardbuulbuul
ochbul2,Rosse Baardbuulbuul
putbul1,Bleke Baardbuulbuul
yebbul2,Grijskopbaardbuulbuul
gycbul2,Grijswangbaardbuulbuul
tahswa2,Bruinkopzwaluw
egygoo,Nijlgans
t-11062401,Mexican Black Howler Monkey
legrob1,Kortstaartlijstervliegenvanger
redava,Tijgervink
unicra1,Effen Bosral
isabuh1,Sulawesiwaterhoen
rutbuh1,Molukkenwaterhoen
whbwat1,Witborstwaterhoen
blusee1,Indigodikbekje
blbsee3,Zwart-blauw Dikbekje
honeme1,Hondurese Amazilia
cinhum1,Kaneelkleurige Amazilia
rtlhum,Roodstaartamazilia
bubhum,Yucatánamazilia
amahum1,Lessons Amazilia
bufpar,Blauwvoorhoofdamazone
blbpar1,Jamaica-amazone
whfpar1,Witvoorhoofdamazone
orwpar,Oranjevleugelamazone
yenpar1,Geelnekamazone
relpar,Geelwangamazone
retpar1,Roodstaartamazone
blcpar2,Blauwwangamazone
meapar,Grote Amazone
fespar1,Blauwbaardamazone
licpar,Finsch' Amazone
kawpar1,Kawalls Amazone
cubpar1,Cuba-amazone
scnpar1,Schubnekamazone
ywcpar,Geelvoorhoofdamazone
yehpar,Geelkopamazone
rebpar7,Roodkruinamazone
tucpar1,Tucumánamazone
hispar1,Hispaniola-amazone
vinpar1,Wijnborstamazone
recpar,Groenwangamazone
yelpar1,Geelteugelamazone
bratea1,Amazonetaling
yebcac1,Geelsnaveltroepiaal
t-11838680,Clicker Round-winged Katydid
t-11851326,Common Virtuoso Katydid
t-11845584,Oblong-winged Katydid
t-11854789,Rattler Round-winged Katydid
golbow1,Golden Bowerbird
growea1,Dikbekwever
schbla1,Roodkoptroepiaal
yebspa1,Geelwanggors
graspa1,Graslandgors
graspa,Sprinkhaangors
batlar1,Rosse Woestijnleeuwerik
deslar1,Woestijnleeuwerik
rutlar2,Roodstaartleeuwerik
gybant1,Grijsbuikmiervogel
sstspa,Spitsstaartgors
lecspa,LeContes Gors
seaspa,Kweldergors
nstspa,Nelsons Spitsstaartgors
scafru1,Groengeschubde Cotinga
reccot1,Roodkuifcotinga
chccot1,Roodkopcotinga
gyhant1,Palamblamiervogel
bktspa,Zwartkeelgors
fisspa,Vijfstrepengors
whbfog1,Witbrauwbladspeurder
obfgle2,Lichtensteins Bladspeurder
rutfog1,Roodstaartbladspeurder
mofgle1,Bergbladspeurder
stfgle1,Schubkeelbladspeurder
ducfog1,Kuifbladspeurder
wcfgle1,Witkraagbladspeurder
abttyr1,Grijsborstmeestiran
ybttyr1,Geelsnavelmeestiran
bkctit1,Zwartkuifmeestiran
tuttyr1,Pluimmeestiran
pcttyr1,Gestreepte Meestiran
norpin,Pijlstaart
spetea3,Andestaling
chetea1,Kastanjetaling
gnwtea,Wintertaling
mexduc,Mexican Duck
yebtea1,Chileense Taling
motduc,Gevlekte Eend
yebpin1,Zuid-Amerikaanse Pijlstaart
gretea1,Australische Taling
mallar3,Wilde Eend
isbduc1,Indische Vlekbekeend
ambduc,Amerikaanse Zwarte Eend
pabduc1,Wenkbrauweend
yebduc1,Geelsnaveleend
hawduc,Hawaii-eend
spbduc,Chinese Vlekbekeend
asiope1,Indische Gaper
t-11847882,Say's Trig
t-11140103,American Toad
t-11050888,Yosemite Toad
t-11100978,Great Plains Toad
t-11132206,Fowler's Toad
t-11153124,Houston Toad
t-11160924,Arizona Toad
t-11107100,Oak Toad
t-11051816,Texas Toad
t-11045871,Southern Toad
t-11105570,Woodhouse's Toad
chwhoo1,Haakbekbladspeurder
gybmot1,Zwartmaskerbergtoekan
pbmtou1,Zwartkruinbergtoekan
bbmtou1,Witwangbergtoekan
tobhum1,Tandsnavelkolibrie
somgre1,Vale Buulbuul
horscr1,Anioema
anhing,Amerikaanse Slangenhalsvogel
darter2,Indische Slangenhalsvogel
darter4,Australische Slangenhalsvogel
sbmtan1,Roodoorbergtangare
lamtan1,Druppelbergtangare
bwmtan1,Blauwvleugelbergtangare
hyamac1,Hyacinthara
indmac1,Lears Ara
buchor1,Zwartkuifneushoornvogel
bugnod,Blauwe Noddy
blknod,Witkapnoddy
brnnod,Noddy
lesnod1,Kleine Noddy
gwfgoo,Kolgans
gragoo,Grauwe Gans
pifgoo,Kleine Rietgans
snogoo,Sneeuwgans
empgoo,Keizergans
swagoo1,Zwaangans
lwfgoo,Dwerggans
taibeg1,Taigarietgans
bahgoo,Indische Gans
rosgoo,Ross' Gans
tunbeg1,Toendrarietgans
maggoo1,Ekstergans
whgfly1,Witbefvliegenvanger
rubfly3,Roodteugelvliegenvanger
orbsun2,Oranjeborsthoningzuiger
redwat1,Roodlelhoningeter
bruwat1,Kleine Lelhoningeter
litwat1,Westeljke Lelhoningeter
yelwat1,Geellelhoningeter
reghon1,Geschubde Lelhoningeter
nezbel1,Maoribelhoningvogel
soptit1,Kaapse Kapokmees
mcptit1,Grijze Kapokmees
orphor1,Indische Neushoornvogel
maphor1,Malabarneushoornvogel
blahor1,Zwarte Neushoornvogel
bltman1,Zwartkeelmango
pltsun2,Bruinkeel-honingzuiger (malacensis groep)
kvbsun1,Zwaluwhoningzuiger
blucra2,Stanleys Kraanvogel
demcra1,Jufferkraanvogel
berpip1,Berthelots Pieper
parpip1,Páramopieper
tawpip1,Duinpieper
retpip,Roodkeelpieper
chapip1,Chacopieper
afrpip1,Kaneelpieper
corpip1,Correnderapieper
yetpip1,Kopjespieper
shbpip1,Witbuikpieper
blypip1,Mongoolse Pieper
pecpip,Petsjorapieper
helpip1,Hellmayrs Pieper
olbpip,Siberische Boompieper
plbpip1,Bruinrugpieper
strpip1,Gestreepte Pieper
yelpip2,Yellowish Pipit
ocbpip1,Okerborstpieper
auspip1,Nieuw-Zeelandse Pieper (novaeseelandiae groep)
yelpip3,Peruvian Pipit
rocpip1,Oeverpieper
meapip1,Graspieper
ricpip1,Grote Pieper
rospip1,Wijnborstpieper
amepip,Pacifische Waterpieper
oripip1,Oriëntaalse Pieper
lobpip1,Langsnavelpieper
watpip1,Waterpieper
sprpip,Prairiepieper
uplpip1,Hooglandpieper
trepip,Boompieper
sarcra1,Saruskraanvogel
sancra,Canadese Kraanvogel
brolga1,Brolgakraanvogel
whncra1,Witnekkraanvogel
araman1,Araripemanakin
helman1,Helmmanakin
souwpw1,Mexicaanse Whippoorwill
yucnig1,Yucatánnachtzwaluw
chwwid,Chuck Will's Widow
purnig1,Puertoricaanse Whippoorwill
bucnig,Ridgways Whippoorwill
rufnig1,Rosse Nachtzwaluw
tacnig1,Salvins Nachtzwaluw
dusnig1,Zwarte Nachtzwaluw
sitnig1,Zijdestaartnachtzwaluw
easwpw1,Whippoorwill
firgat1,Sprokkelaar
chhcra1,Chestnut-headed Crake
blbcra1,Zwartbandral
ruccra1,Russet-crowned Crake
