pecpip,świergotek tundrowy
helpip1,świergotek trawny
olbpip,świergotek tajgowy
plbpip1,świergotek gładki
strpip1,świergotek kreskowany
yelpip2,Yellowish Pipit
ocbpip1,świergotek ochrowy
auspip1,świergotek nowozelandzki [gr. novaeseelandiae]
yelpip3,świergotek peruwiański
rocpip1,świergotek nadmorski
meapip1,świergotek łąkowy
ricpip1,świergotek szponiasty
rospip1,świergotek różowy
amepip,świergotek bagienny
oripip1,świergotek rdzawy
lobpip1,świergotek długodzioby
watpip1,siwerniak
sprpip,świergotek preriowy
uplpip1,świergotek himalajski
trepip,świergotek drzewny
sarcra1,żuraw indyjski
sancra,żuraw kanadyjski
brolga1,żuraw australijski
whncra1,żuraw białoszyi
araman1,hełmogłowik biały
helman1,hełmogłowik czarny
souwpw1,lelkowiec arizoński
yucnig1,lelkowiec białosterny
chwwid,lelkowiec karoliński
purnig1,lelkowiec czarnogardły
bucnig,lelkowiec brązowoszyi
rufnig1,lelkowiec rdzawy
tacnig1,lelkowiec obrożny
dusnig1,lelkowiec kostarykański
sitnig1,lelkowiec jedwabisty
easwpw1,lelkowiec krzykliwy
firgat1,chrustownik
chhcra1,Chestnut-headed Crake
blbcra1,derkaczyk czarnopręgi
ruccra1,Russet-crowned Crake
brhapa1,nikornik brązowogłowy
chaapa1,nikornik szarobrzuchy
gryapa1,nikornik szary
yebapa1,nikornik żółtopierśny
bltapa1,nikornik białowąsy
blhapa1,nikornik żałobny
blfapa1,nikornik czarnolicy
chtapa3,nikornik rdzwogardły
rudapa1,nikornik białobrewy
butapa1,nikornik kongijski
shaapa2,nikornik ciemny
batapa2,nikornik obrożny
nartro1,afrotrogon zielony
battro1,afrotrogon prążkowany
blbfly1,tyranula czarnodzioba
tacfly1,tyranula białogardła
souwhi1,białoczółka szarogrzbieta
cowscj1,modrowronka kalifornijska
flsjay,modrowronka zaroślowa
mexjay3,modrowronka meksykańska
unijay1,modrowronka jednobarwna
mexjay4,modrowronka dębowa
wooscj2,modrowronka leśna
thtray1,ostrogonek mały
t-11139707,Honey Bee
samsta1,skworczyk samoański
brwsta1,skworczyk duży
metsta1,skworczyk towarzyski
molsta1,skworczyk molucki
micsta1,skworczyk mikronezyjski
asgsta1,skworczyk zielony
polsta1,skworczyk polinezyjski
rewpar1,krasnopiórka czerwonoskrzydła
kinpen1,pingwin królewski
nibkiw1,kiwi północny
litswi1,jerzyk mały
comswi,jerzyk
whrswi1,jerzyk widłosterny
alpswi1,Alpine Swift
houswi1,jerzyk nepalski
fotswi,jerzyk białorzytny
palswi3,jerzyk blady
plaswi1,jerzyk jednobarwny
spaeag1,orzeł iberyjski
goleag,orzeł przedni
impeag1,orzeł cesarski
steeag1,orzeł stepowy
grgmac,ara oliwkowa
baymac,ara ararauna
ragmac1,ara zielonoskrzydła
bltmac1,ara szafirowa
scamac1,ara żółtoskrzydła
milmac,ara zielona
chfmac1,ara kasztanowoczelna
yeespi1,pajęcznik żółtouchy
thbspi1,pajęcznik grubodzioby
spespi2,pajęcznik okularowy
litspi1,pajęcznik długodzioby
strspi1,pajęcznik kreskowany
runwor1,chruścielak białobrzuchy
rnwrai1,chruścielak rdzawoszyi
gycwor1,chruścielak szaroszyi
sbwrai1,chruścielak śniady
brwrai1,chruścielak brunatny
giwrai1,chruścielak wielki
limpki,bekaśnica
gocpar2,konura złotoczelna
janpar1,konura ognistobrzucha
bkhpar,konura czarnogłowa
duhpar,konura łuskogłowa
whcpar1,pstropiór czarnogardły
babpar1,pstropiór płowy
taipar1,pstropiór tajwański
rebpar5,pstropiór ciemnoboczny
chbpar1,pstropiór jawajski
chbpar2,pstropiór rdzawoszyi
rutpar1,pstropiór rdzawogardły
hilpar1,pstropiór obrożny
bkchum,koliberek czarnobrody
rthhum,koliberek rubinobrody
greegr,czapla biała
graher1,czapla siwa
cocher1,czapla czarnobrzucha
grbher3,czapla modra
integr,czapla czarnonoga
blhher1,czapla czarnogłowa
purher1,czapla purpurowa
grbher2,czapla szarobrzucha
bulshe,burzyk szarogrzbiety
flfshe,burzyk bladodzioby
pifshe,burzyk różowonogi
sooshe,burzyk szary
wetshe,burzyk klinosterny
shtshe,burzyk cienkodzioby
chpher1,czapla białoskrzydła
inpher1,czapla siodłata
squher1,czapla modronosa
japher1,czapla okazała
rudtur,kamusznik
blktur,kamusznik czarnogłowy
grearg1,argus malajski
yebbab1,tymal żółtodzioby
combab3,dżunglotymal indyjski
strbab1,tymal kreskowany
lagbab2,tymal szary
junbab2,tymal szarogłowy
rufbab3,tymal rudogrzbiety
shegre1,górobilbil zielonawy
