bkhbat1,Pririt d'Erlanger
shtbat1,Pririt à queue courte
chibat1,Pririt molitor
gyhbat1,Pririt à tête grise
pygbat1,Pririt pygmée
pribat1,Pririt de Vieillot
palbat1,Pririt pâle
javfro2,Podarge de Blyth
larfro1,Podarge oreillard
sunfro1,Podarge cornu
hodfro1,Podarge de Hodgson
ceyfro1,Podarge de Ceylan
phifro1,Podarge des Philippines
goufro1,Podarge étoilé
whchor2,Calao coiffé
potpal1,Berlepschia des palmiers
lobber1,Tétraka malgache
bawfly1,Bias musicien
whbant2,Batara à poitrine noire
musduc1,Érismature à barbillons
gyhbri1,Bulbul fourmilier
lesbri2,Bulbul jaunelore
combri2,Bulbul moustac
baywoo1,Pic à oreillons rouges
marwoo1,Pic porphyroïde
butcor1,Colibri flavescent
vepcor1,Colibri de Jardine
chbcor1,Colibri de Matthews
guaiab1,Guaiabero lunulé
barpar1,Toui catherine
andpar1,Toui de d'Orbigny
brihon1,Méliphage bridé
cedwax,Jaseur d'Amérique
bohwax,Jaseur boréal
japwax1,Jaseur du Japon
rufgro,Gélinotte huppée
watibi1,Ibis caronculé
hadibi1,Ibis hagedash
amebit,Butor d'Amérique
grebit1,Butor étoilé
whtjac1,Jacamar à gorge blanche
brojac2,Jacamar brun
pubbul1,Puff-backed Bulbul
blhbul1,Black-headed Bulbul
bawbul2,Black-and-white Bulbul
gyhbul1,Gray-headed Bulbul
yewbul1,Yellow-wattled Bulbul
whbsho4,Brachyptère de l'Himalaya
whbsho6,Brachyptère de Taïwan
rubsho1,Brachyptère à ventre roux
lessho1,Petite Brachyptère
whbsho12,Brachyptère de Java
marmur,Guillemot marbré
afgfly1,Gobemouche à petit bec
afbwar1,Mégalure caqueteuse
afswar1,Mégalure des fourrés
bretai1,Mégalure de Sharpe
wwswar1,Mégalure à ailes blanches
cibwar1,Mégalure cannelle
camscw1,Mégalure de Lopes
knswar1,Mégalure de Knysna
brant,Bernache cravant
cangoo,Bernache du Canada
cacgoo1,Bernache de Hutchins
bargoo,Bernache nonnette
hawgoo,Bernache néné
yecpar,Toui à ailes jaunes
gowpar2,Toui para
cowpar1,Toui de Deville
orcpar,Toui à menton d'or
gycpar1,Toui flamboyant
tuipar1,Toui à front d'or
plapar1,Toui tirica
whwpar,Toui à ailes variées
wbbwea1,Alecto à bec blanc
rbbwea1,Alecto à bec rouge
spoeao2,Grand-duc africain
roeowl1,Grand-duc indien
eueowl1,Grand-duc d'Europe
dueowl1,Dusky Eagle-Owl
veeowl1,Verreaux's Eagle-Owl
sbeowl1,Spot-bellied Eagle-Owl
snoowl1,Harfang des neiges
baeowl1,Barred Eagle-Owl
grhowl,Grand-duc d'Amérique
categr,Héron garde-boeufs
trufin2,Roselin githagine
yesbar1,Barbican à taches jaunes
colpuf1,Tamatia à collier
chcpuf1,Tamatia macrodactyle
spopuf1,Tamatia tacheté
buffle,Petit Garrot
comgol,Garrot à oeil d'or
bargol,Garrot d'Islande
grehor1,Calao bicorne
rufhor1,Calao à casque plat
rhihor1,Calao rhinocéros
helhor1,Helmeted Hornbill
soghor1,Bucorve du Sud
bulpet,Pétrel de Bulwer
yeboxp1,Piqueboeuf à bec jaune
reboxp1,Piqueboeuf à bec rouge
dstkne,Double-striped Thick-knee
sptkne1,Oedicnème tachard
butkne1,Oedicnème bridé
indthk1,Oedicnème indien
eutkne1,Oedicnème criard
setkne1,Oedicnème du Sénégal
petkne1,Peruvian Thick-knee
watkne1,Oedicnème vermiculé
blchaw1,Buse à tête blanche
gyfbuz1,Busautour à joues grises
whebuz1,Busautour aux yeux blancs
whthaw1,Buse à gorge blanche
zothaw,Buse à queue barrée
augbuz1,Buse augure
madbuz1,Buse de Madagascar
shthaw,Buse à queue courte
combuz1,Buse variable
rethaw,Buse à queue rousse
combuz6,Buse du Japon
rolhaw,Buse pattue
reshaw,Buse à épaulettes
gryhaw3,Buse cendrée
moubuz2,Buse montagnarde
gryhaw2,Buse grise
brwhaw,Petite Buse
ferhaw,Buse rouilleuse
ridhaw1,Buse de Ridgway
hawhaw,Buse d'Hawaï
swahaw,Buse de Swainson
comblh1,Buse noire
croeag1,Buse couronnée
savhaw1,Buse roussâtre
slchaw2,Buse ardoisée
soleag1,Buse solitaire
grbhaw1,Buse urubu
homtan1,Tangara montagnard
strher,Héron strié
grnher,Héron vert
whthor1,Calao à cuisses blanches
sichor1,Calao à joues argent
truhor1,Calao trompette
piphor1,Calao siffleur
bawhor2,Calao à joues grises
whicoc1,Cacatoès blanc
duccoc1,Cacatoès de Ducorps
succoc,Cacatoès à huppe jaune
tancoc1,Cacatoès de Goffin
litcor2,Cacatoès corella
lobcor1,Cacatoès nasique
yercac1,Cassique cul-jaune
moucac1,Cassique montagnard
gowcac1,Cassique à épaulettes
rercac1,Cassique cul-rouge
batoro1,Cassique à queue frangée
casoro2,Cassique casqué
sobcac1,Cassique solitaire
scrcac1,Cassique à dos rouge
chbcuc3,Coucou à poitrine rousse
fatcuc1,Coucou à éventail
whckoe1,Coucou à calotte blanche
placuc1,Coucou plaintif
palcuc1,Coucou pâle
placuc3,Coucou à tête grise
babcuc2,Coucou de Sonnerat
brucuc1,Coucou des buissons
musduc,Canard musqué
strfie1,Séricorne strié
bawwar1,Camaroptère barrée
grywrw1,Camaroptère modeste
miowrw3,Camaroptère de Stierling
larbun,Bruant noir et blanc
humlar1,Alouette de Hume
gstlar1,Alouette calandrelle
reclar1,Alouette cendrille
sstlar4,Alouette de Sykes
laplon,Plectrophane lapon
chclon,Plectrophane à ventre noir
smilon,Plectrophane de Smith
faclar2,Alouette fauve
karlar2,Alouette du Karoo
foxlar1,Foxy Lark
piblar3,Alouette à poitrine rose
sablar2,Alouette sabota
retvan1,Calicalic malgache
shtsan,Bécasseau à queue pointue
sander,Bécasseau sanderling
dunlin,Bécasseau variable
baisan,Bécasseau de Baird
redkno,Bécasseau maubèche
brbsan,Bécasseau falcinelle
cursan,Bécasseau cocorli
whrsan,Bécasseau à croupion blanc
stisan,Bécasseau à échasses
pursan,Bécasseau violet
wessan,Bécasseau d'Alaska
pecsan,Bécasseau à poitrine cendrée
litsti,Bécasseau minute
leasan,Bécasseau minuscule
rocsan,Bécasseau des Aléoutiennes
ruff,Combattant varié
semsan,Bécasseau semipalmé
spbsan1,Bécasseau spatule
rensti,Bécasseau à col roux
lotsti,Bécasseau à longs doigts
bubsan,Bécasseau roussâtre
temsti,Bécasseau de Temminck
grekno,Bécasseau de l'Anadyr
surfbi,Bécasseau du ressac
yefhon1,Méliphage à joues d'or
blthon1,Méliphage à gorge noire
spefin1,Roselin de Burton
kokako3,Glaucope de Wilson
sibrub,Rossignol calliope
fireth1,Rossignol de David
himrub1,Rossignol à gorge rubis
chirub1,Rossignol de Przewalski
calqua,Colin de Californie
elequa,Colin élégant
gamqua,Colin de Gambel
scaqua,Colin écaillé
gagcoc1,Cacatoès à tête rouge
btmjay,Geai à face noire
wtmjay1,Geai à face blanche
corshe,Puffin cendré
brnbar2,Barbu fuligineux
luchum,Colibri lucifer
annhum,Colibri d'Anna
coshum,Colibri de Costa
grebro1,Eurylaime vert
