dstkne,Double-striped Thick-knee
sptkne1,dytík skvrnitý
butkne1,dytík velký
indthk1,dytík indický
eutkne1,dytík úhorní
setkne1,dytík africký
petkne1,Peruvian Thick-knee
watkne1,dytík vodní
blchaw1,louče černohrdlé
gyfbuz1,jestřábec východní
whebuz1,jestřábec bělooký
whthaw1,káně andská
zothaw,káně černá
augbuz1,káně černohřbetá
madbuz1,káně madagaskarská
shthaw,káně krátkoocasá
combuz1,káně lesní
rethaw,káně rudochvostá
combuz6,káně východní
rolhaw,káně rousná
reshaw,káně páskovaná
gryhaw3,káně šedá
moubuz2,káně horská
gryhaw2,káně popelavá
brwhaw,káně širokokřídlá
ferhaw,káně královská
ridhaw1,káně dominikánská
hawhaw,káně havajská
swahaw,káně bělohrdlá
comblh1,káně tmavá
croeag1,káně korunkatá
savhaw1,káně savanová
slchaw2,káně břidlicová
soleag1,káně samotářská
grbhaw1,káně velká
homtan1,Hooded Mountain Tanager
strher,volavka proměnlivá
grnher,volavka zelenavá
whthor1,zoborožec drsnohlasý
sichor1,zoborožec šedolící
truhor1,zoborožec naříkavý
piphor1,zoborožec chechtavý
bawhor2,zoborožec černobílý
whicoc1,kakadu bílý
duccoc1,kakadu šalomounský
succoc,kakadu žlutočečelatý
tancoc1,kakadu tanimbarský
litcor2,kakadu naholící
lobcor1,kakadu ostrozobý
yercac1,Yellow-rumped Cacique
moucac1,Mountain Cacique
gowcac1,Golden-winged Cacique
rercac1,Red-rumped Cacique
batoro1,Band-tailed Cacique
casoro2,Casqued Cacique
sobcac1,Solitary Black Cacique
scrcac1,Scarlet-rumped Cacique
chbcuc3,kukačka hnědobřichá
fatcuc1,kukačka skořicová
whckoe1,kukačka bělokorunkatá
placuc1,kukačka naříkavá
palcuc1,kukačka australská
placuc3,kukačka šedobřichá
babcuc2,kukačka proužkovaná
brucuc1,kukačka pískavá
musduc,pižmovka americká
strfie1,Striated Fieldwren
bawwar1,Barred Wren-Warbler
grywrw1,Gray Wren-Warbler
miowrw3,Stierling's Wren-Warbler
larbun,Lark Bunting
humlar1,skřivánek horský
gstlar1,skřivánek krátkoprstý
reclar1,Red-capped Lark
sstlar4,skřivánek tibetský
laplon,ostružka severní
chclon,Chestnut-collared Longspur
smilon,Smith's Longspur
faclar2,Fawn-colored Lark
karlar2,Karoo Lark
foxlar1,Foxy Lark
piblar3,Pink-breasted Lark
sablar2,Sabota Lark
retvan1,Red-tailed Vanga
shtsan,jespák klínoocasý
sander,jespák písečný
dunlin,jespák obecný
baisan,jespák dlouhokřídlý
redkno,jespák rezavý
brbsan,jespáček ploskozobý
cursan,jespák křivozobý
whrsan,jespák tundrový
stisan,jespák dlouhonohý
pursan,jespák mořský
wessan,jespák aljašský
pecsan,jespák skvrnitý
litsti,jespák malý
leasan,jespák drobný
rocsan,jespák pobřežní
ruff,jespák bojovný
semsan,jespák srostloprstý
spbsan1,jespák lžícozobý
rensti,jespák rudokrký
lotsti,jespák dlouhoprstý
bubsan,jespák plavý
temsti,jespák šedý
grekno,jespák velký
surfbi,jespák příbojový
yefhon1,Yellow-faced Honeyeater
blthon1,Black-throated Honeyeater
spefin1,Spectacled Finch
kokako3,North Island Kokako
sibrub,slavík Kalliopin
fireth1,Firethroat
himrub1,Himalayan Rubythroat
chirub1,Chinese Rubythroat
calqua,křepel kalifornský
elequa,křepel chocholkatý
gamqua,křepel čelenkový
scaqua,křepel šupinkatý
gagcoc1,kakadu přílbový
btmjay,Black-throated Magpie-Jay
wtmjay1,White-throated Magpie-Jay
corshe,buřňák šedý
brnbar2,barbet hnědý
luchum,kalypta zelenoboká
annhum,kalypta růžovohlavá
coshum,kalypta kalifornská
grebro1,loboš smaragdový
whibro1,loboš černohrdlý
